"variable","t","q025","q25","median","q75","q975","week_start"
"latent_infections",1,0.99999996537583,0.99999996537583,0.99999996537583,0.99999996537583,0.99999996537583,2015-01-04
"latent_infections",2,1.23270226545643,1.25404330994374,1.26444176343893,1.27514670712323,1.29589068268109,2015-01-11
"latent_infections",3,1.97565868657934,2.07387693420427,2.1217918800246,2.17126955290847,2.26277268749974,2015-01-18
"latent_infections",4,2.76044645059576,2.96399026836476,3.06968455433211,3.17742090011547,3.38750978576581,2015-01-25
"latent_infections",5,3.70247513607519,4.08183977218476,4.28870791007454,4.49557168059241,4.90605568725617,2015-02-01
"latent_infections",6,4.80775652811625,5.43976135213673,5.78335476978604,6.14481019629276,6.86683015567096,2015-02-08
"latent_infections",7,6.09972467731774,7.0316268240327,7.56865077188172,8.13211441828991,9.33276905052756,2015-02-15
"latent_infections",8,7.52851180017006,8.83930201614713,9.63986938532945,10.4835337988476,12.3213729902484,2015-02-22
"latent_infections",9,9.09878532586163,10.8792739024436,12.0068666960563,13.1795025095959,15.7943061964136,2015-03-01
"latent_infections",10,10.7500725554188,13.0736208885763,14.577229909918,16.1712061729474,19.7975454856245,2015-03-08
"latent_infections",11,12.481881930763,15.3878402237942,17.3264571738195,19.3975812412052,24.0651296091529,2015-03-15
"latent_infections",12,14.3281162638507,17.8046059481804,20.1996015810578,22.7573501266301,28.7763866797671,2015-03-22
"latent_infections",13,16.2039690567215,20.2555238260341,23.117065174043,26.077594814686,33.4772383500796,2015-03-29
"latent_infections",14,18.0232040867728,22.6227965319813,25.9737770958699,29.4600323853119,37.9609444271611,2015-04-05
"latent_infections",15,19.694535833111,24.9547867158337,28.7706427054505,32.7689735029343,42.0119277914755,2015-04-12
"latent_infections",16,21.4145163324906,27.247489139142,31.4632115668988,35.779694001331,46.0175129976332,2015-04-19
"latent_infections",17,22.9645105803797,29.4191303549515,33.8514996971047,38.5606193219609,49.3981694483651,2015-04-26
"latent_infections",18,24.6623941996321,31.5239713808763,36.126602904089,41.1560018472687,52.3744763950409,2015-05-03
"latent_infections",19,26.2291800844326,33.346605819218,38.1076169067461,43.3093773144275,54.8184236162324,2015-05-10
"latent_infections",20,27.6400571852616,35.0665454013342,39.9736141491497,45.223140458197,56.8555339355185,2015-05-17
"latent_infections",21,29.1239566373885,36.5768861666765,41.5078828434147,46.7507556414574,58.3400984130704,2015-05-24
"latent_infections",22,30.6004785685358,37.9400476889392,42.9009903072137,47.999559793508,59.4489056957393,2015-05-31
"latent_infections",23,31.8713252250941,39.121267394464,44.0283125707411,49.0534667265154,60.1517253948262,2015-06-07
"latent_infections",24,33.1164116470336,40.173907447714,44.8709681532555,49.5238477195517,60.3663166025576,2015-06-14
"latent_infections",25,34.0365978309183,40.9922133834446,45.3588882912325,49.8782332427422,59.8219985270236,2015-06-21
"latent_infections",26,35.1333057922076,41.563574647999,45.5810738004853,49.9984417866813,59.135127152178,2015-06-28
"latent_infections",27,35.9759802392439,41.7542960298954,45.5078549891691,49.7907567370302,58.6256090312455,2015-07-05
"latent_infections",28,36.2261991573541,41.7500272572213,45.3201875370918,49.3612992638535,57.3022908293773,2015-07-12
"latent_infections",29,36.1780664092264,41.5044135943178,44.8367003103048,48.624198560136,55.730952056562,2015-07-19
"latent_infections",30,35.6287118447103,40.8043626622991,44.1934438130694,47.7315297383896,54.7486324772827,2015-07-26
"latent_infections",31,34.464163817857,39.9983390768543,43.2518790070688,46.6178219329473,53.4163587216996,2015-08-02
